aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
2201327,Cii,"7,121",31,"1,618",0,2018-06-06,幻想未来,,1,0,2227,软体已崩溃,3609470,24762,9.6,0,轻松,"科幻,情有独钟,游戏网游",[底特律]没有天堂,2019-10-24,"178,024",纯爱,衍生
4887173,是草头王的王,6,4,0,0,2022-06-30,架空历史,,1,0,4,勇敢小医女和体弱军师,7035867,暂无排,,0,正剧,"强强,宫廷侯爵,欢喜冤家,重生",我在战场缝缝补补,2022-07-03,"13,163",言情,原创
4356191,白清溪,"1,002",37,589,0,2022-11-01,近代现代,,1,1,973,天很蓝，草很绿，我很喜欢你,7315251,66902,9.0,0,轻松,"近水楼台,天作之合,甜文",只有猫知道,2022-12-28,"126,946",言情,原创
1107838,羽小树,"62,724",150,"7,430",0,2017-01-05,近代现代,,1,1,13422,一家五口四个非人类,3038319,27771,8.4,0,轻松,"仙侠修真,甜文,快穿,东方玄幻",科学修真的五好家庭,2017-10-17,"491,570",纯爱,原创
1107838,羽小树,"70,693",98,"4,774",0,2016-01-23,近代现代,,1,1,11850,一家五口四个非原装,2622957,16843,8.8,0,轻松,"重生,甜文,现代架空",重生穿越的五好家庭,2019-04-24,"518,521",纯爱,原创
1107838,羽小树,"66,654",80,"2,067",0,2015-11-16,近代现代,,1,1,6798,跪下唱分手快乐,2582920,26924,8.5,0,正剧,"强强,系统,快穿,现代架空",听说你跪求分手[快穿],2019-04-24,"233,388",纯爱,原创
1107838,羽小树,"7,980",46,412,0,2015-10-05,幻想未来,,1,1,1598,夫夫携手虐尽天下单身狗,2528315,82646,8.0,0,轻松,"强强,婚恋,机甲,甜文",星际之蓝星第一美,2019-04-24,"135,291",纯爱,原创
1107838,羽小树,"4,555",15,655,0,2016-05-27,近代现代,,1,0,810,未来=受,2777650,91780,,0,轻松,"年下,情有独钟,甜文,现代架空",干翻你的未来,2019-10-22,"32,883",纯爱,原创
1107838,羽小树,"6,912",48,527,0,2015-01-25,近代现代,,1,0,965,放开，让我来！,2299416,119151,8.6,0,轻松,"都市情缘,情有独钟,天作之合,甜文",放开那只郭比卡,2019-08-06,"116,069",纯爱,原创
2222266,怯喜,"29,769",61,"3,216",0,2021-06-29,近代现代,,1,1,14322,我看见海上大雾弥漫，我听见你。,4453035,54579,9.3,0,轻松,"情有独钟,天作之合,天之骄子,甜文",软刀,2022-04-16,"292,363",言情,原创
4617387,南城非梦,"5,167",42,908,0,2023-01-07,近代现代,,1,1,4883,久别重逢X暗恋成真,6782390,114280,,0,正剧,情有独钟,暗恋成谜,2023-02-16,"187,455",言情,原创
4626958,花燃燃,"8,121",49,481,0,2022-12-28,近代现代,,1,1,3358,青梅竹马就是最甜的,7652032,181229,,0,轻松,"时代奇缘,情有独钟,励志人生",梨花崽崽成长日记,2023-02-15,"226,986",言情,原创
4626958,花燃燃,"10,273",70,"1,056",0,2022-03-26,架空历史,,1,1,7217,摄政王的养猫日常,6698447,62790,8.4,0,轻松,"宫廷侯爵,情有独钟,甜文,穿书",穿书后我成了摄政王的猫,2022-07-28,"258,877",纯爱,原创
5316976,元元彬,282,22,7,0,2022-12-10,幻想未来,,1,0,74,发挥肝娘本色活出精彩日常,7597958,暂无排,,0,正剧,"灵魂转换,种田文,末世,励志人生",穿越灾后世界的谋生日常,2022-12-25,"66,581",无CP,原创
5316976,元元彬,"13,792",62,614,0,2022-12-23,架空历史,,1,1,5761,从逃婚到逃荒到种田到基建与权谋,7636798,41595,,0,正剧,"随身空间,穿越时空",穿越庶女逃荒记,2023-02-16,"303,278",言情,原创
2201327,Cii,86,9,5,0,2022-05-18,,,1,0,16,人生苦短，及时行乐,6892748,暂无排,,0,未知,,吃吃喝喝玩玩乐乐,2022-12-16,"8,495",,
4174017,梅燃,"8,534",82,355,0,2021-12-15,架空历史,,1,1,3685,朕以金屋为囚，只听她莺啼婉转,6087305,4843,6.0,0,正剧,"布衣生活,情有独钟,天作之合",锁娇莺,2022-03-24,"271,466",言情,原创
4376869,凡夫菜菜,"62,256",122,"3,581",0,2021-12-01,近代现代,,1,1,23072,我，极乐教教主，打钱！,6363508,46280,8.5,0,轻松,"综漫,少年漫,文野,咒回",我转生成了地表最强的弟弟,2022-08-18,"532,451",无CP,衍生
1107838,羽小树,"8,568",28,326,0,2014-07-14,近代现代,,1,0,1132,去你妹的真善美,2165622,216746,8.8,0,轻松,"天作之合,穿越时空,系统,快穿",成为系统的监护人,2019-10-22,"93,540",纯爱,原创
2222266,怯喜,"120,222",71,"3,614",0,2020-03-24,近代现代,,1,1,39946,我都踮脚了你怎么还不亲！,4174279,51917,9.5,0,轻松,"情有独钟,业界精英,甜文",我闭眼了，你亲吧,2022-03-13,"411,763",言情,原创
2222266,怯喜,"106,972",89,"3,678",0,2021-01-12,近代现代,,1,1,56766,抬头见星，低头见你。,4338843,63864,8.8,0,轻松,"豪门世家,情有独钟,娱乐圈,甜文",见星,2021-09-27,"380,858",言情,原创
